,a2c,ddpg,td3,ppo,sac,mvo
2023-04-17,2776020.6832699995,2403630.5426599993,2061908.9097550004,1677442.32379501,2488607.0356900007,3176437.359934304
2023-04-18,2753057.5632700003,2410448.1826599995,2078933.6397550004,1680166.52407001,2524213.55569,3169172.8124412363
2023-04-19,2768103.7232699995,2427256.0426599993,2085974.4197550006,1694129.9729700105,2537097.9756899998,3194536.0844232077
2023-04-20,2758074.6532699997,2403767.2626599995,2066655.4697550004,1680945.1772100106,2519823.73569,3184374.128325398
2023-04-21,2745879.5732699996,2398174.1226599994,2050026.1797550004,1682882.0550300102,2499748.18569,3171800.5659662904
2023-04-24,2737171.0532699996,2391867.9426599997,2038144.0397550005,1674724.0477650107,2485404.5356900003,3168177.61990152
2023-04-25,2708333.58327,2348555.52266,1991359.0397550003,1629350.4728750105,2413163.18569,3108124.821041879
2023-04-26,2764465.80327,2353332.2826599996,2047779.2697550005,1629942.9143750106,2395528.16569,3129427.688963876
2023-04-27,2811883.8878899994,2403688.06266,2095697.8197550005,1676413.8975550106,2445070.09569,3200303.184782213
2023-04-28,2831192.4378899992,2421090.4626599997,2112338.6297550006,1672357.4687800105,2476916.42569,3205127.9116897453
2023-05-01,2820372.1778899995,2389468.7626599995,2094880.3097550003,1650205.6761600103,2459412.0056900005,3180581.065862857
2023-05-02,2815801.43789,2347140.2026599995,2076737.6597550006,1632078.7293200104,2412165.4956900002,3180641.6140346294
2023-05-03,2794200.170544999,2327180.9226599997,2058828.0897550003,1622309.0171100108,2392019.45569,3097907.2275522444
2023-05-04,2778185.28373,2295011.9026599997,2033925.2797550005,1606714.9189400112,2340128.37569,3118519.852772078
2023-05-05,2818068.29422,2358653.9626599997,2078120.6197550003,1642324.2887250101,2404019.8856900004,3203619.3834033543
2023-05-08,2809980.324995,2359412.3226599996,2069890.5997550003,1645863.2575550105,2413165.0056900005,3241386.576120685
2023-05-09,2795518.1362800007,2345082.4226599997,2077120.3297550005,1642805.98615001,2408067.10569,3235551.6044154475
2023-05-10,2813617.272595,2340133.0826599994,2084789.3097550005,1654303.2352900102,2381709.0056900005,3277823.326538343
2023-05-11,2797664.352595,2336981.2826599996,2076891.4097550004,1654468.9417550103,2366881.98569,3288170.1383916494
2023-05-12,2785826.5925949994,2318016.1626599994,2063586.1497550006,1635564.50365001,2344644.2856900003,3253277.0810745317
2023-05-15,2793659.082594999,2337392.4626599997,2080064.1197550003,1663397.1387050103,2386276.67569,3273500.1704463777
2023-05-16,2793080.812595,2321575.2826599996,2073446.7797550005,1659002.09222001,2358114.5956900003,3308195.803641136
