date,a2c,ddpg,td3,ppo,sac,mvo
2022-02-09,2676739.6462999997,2665310.1030999995,2101357.0020500002,2565165.385999994,2382025.5593499998,2308696.955594717
2022-02-10,2669779.1463,2665371.703099999,2099657.60205,2553999.120449993,2365838.45935,2309260.5940181445
2022-02-13,2690177.8463,2703885.0030999994,2102666.9020499997,2558704.0908999937,2388070.4593499997,2341522.1574509046
2022-02-14,2689579.2462999998,2696919.2030999996,2098902.0020500002,2556500.797649994,2385603.0593499998,2332367.893703673
2022-02-15,2681027.4463,2689350.4030999998,2105502.60205,2543564.4991999944,2374902.8593499996,2324790.212303693
2022-02-16,2686917.9463000004,2697084.6030999995,2114028.50205,2553543.998599994,2378813.3593499996,2330867.021624117
2022-02-17,2686129.9462999995,2690413.6030999995,2113788.30205,2548136.3309999937,2377868.95935,2318772.451503669
2022-02-20,2684127.7462999998,2702001.6030999995,2090263.1020499999,2546816.4794499935,2383088.9593499997,2326192.2755592456
2022-02-22,2671604.9463,2678216.8030999997,2086954.20205,2537145.3613499934,2368449.359349999,2305865.9160032184
2022-02-23,2691918.8463,2681496.0030999994,2092549.40205,2548308.644699994,2384840.2593499995,2309863.3093099957
2022-02-24,2660250.2463,2642284.2030999996,2073501.70205,2522480.249999994,2348049.8593499996,2287274.830754931
2022-02-27,2622469.9463000004,2595467.1030999995,2051766.90205,2491374.325749994,2308178.8593499996,2249201.081889036
2022-02-28,2646741.9463,2618923.6030999995,2068633.6020499999,2519265.4934499934,2335081.15935,2265983.9520146884
2022-03-01,2629796.2463,2587568.4030999993,2059087.50205,2502497.6599999936,2315301.1593499994,2240015.256422172
2022-03-02,2628078.1462999997,2571227.0030999994,2048962.6020499999,2491680.9363999935,2307165.8593499996,2224378.2417428764
2022-03-03,2625657.6463,2585625.6030999995,2046653.0020499998,2493121.1144999936,2306140.5593499998,2241080.957528621
2022-03-06,2612968.8463,2558020.0030999994,2024855.8020499998,2479150.792649994,2288619.5593499998,2208376.2885528654
2022-03-07,2539552.8463,2483292.8030999997,1975642.3020499998,2406723.1714499937,2215838.0593499998,2153096.9531429647
2022-03-08,2495700.7462999998,2451908.4030999998,1954140.90205,2378445.8353999937,2181157.0593499993,2124763.380764506
2022-03-09,2543419.9463,2499509.0030999994,2011167.9020499997,2427233.5020499937,2210477.1593499994,2166093.6344417767
2022-03-10,2529780.6462999997,2474795.8030999997,2005668.30205,2414424.4637999944,2196741.8593499996,2153002.1653927565
2022-03-13,2516205.5463,2452097.9030999998,2019762.3020499998,2406587.1411499935,2176140.8593499996,2147100.230489166
