,date,account_value
348,2018-05-29,2606153.879450001
349,2018-05-30,2602981.7294500005
350,2018-05-31,2656470.0294500007
351,2018-06-01,2649733.5794500005
352,2018-06-04,2601498.329450001
353,2018-06-05,2599464.5294500003
354,2018-06-06,2626746.879450001
355,2018-06-07,2630739.5294500007
356,2018-06-08,2625583.379450001
357,2018-06-11,2631501.0294500007
358,2018-06-12,2637319.879450001
359,2018-06-13,2639362.929450001
360,2018-06-14,2636305.779450001
361,2018-06-15,2630268.7294500005
362,2018-06-18,2628286.079450001
363,2018-06-19,2616042.829450001
364,2018-06-20,2637327.9294500006
365,2018-06-21,2638019.4294500006
366,2018-06-22,2680538.329450001
367,2018-06-25,2661611.5794500005
368,2018-06-26,2674813.2794500007
369,2018-06-27,2652907.729450001
370,2018-06-28,2620453.879450001
371,2018-06-29,2644528.7794500007
372,2018-07-02,2628751.179450001
373,2018-07-03,2626830.4294500006
374,2018-07-04,2649617.029450001
375,2018-07-05,2636546.129450001
376,2018-07-06,2623593.679450001
377,2018-07-09,2626041.1794500006
378,2018-07-10,2651764.629450001
379,2018-07-11,2627355.129450001
380,2018-07-12,2656801.2294500005
381,2018-07-13,2691109.2294500005
382,2018-07-16,2674950.129450001
383,2018-07-17,2699476.429450001
384,2018-07-18,2714392.129450001
385,2018-07-19,2721735.129450001
386,2018-07-20,2709759.2794500007
387,2018-07-23,2690403.7794500007
388,2018-07-24,2702912.129450001
389,2018-07-25,2715789.6294500013
390,2018-07-26,2721356.829450001
391,2018-07-27,2757195.4794500005
392,2018-07-30,2739028.379450001
393,2018-07-31,2741887.6794500006
394,2018-08-01,2733500.329450001
395,2018-08-02,2716134.9294500006
396,2018-08-03,2723899.529450001
397,2018-08-06,2708333.729450001
398,2018-08-07,2723218.979450001
399,2018-08-08,2727231.9294500006
400,2018-08-09,2703465.379450001
401,2018-08-10,2711622.5794500005
402,2018-08-13,2671264.379450001
403,2018-08-14,2682279.7794500007
404,2018-08-16,2663641.4294500006
405,2018-08-17,2675390.2294500005
406,2018-08-20,2683887.2294500005
407,2018-08-21,2675018.279450001
408,2018-08-23,2653268.629450001
