date,a2c,ddpg,td3,ppo,sac,mvo
2020-02-11,2709162.2332250015,2397660.500225,2627762.00055,2337712.4338000007,2464014.4219750003,3619879.7224656427
2020-02-12,2721728.383225002,2405047.9002250005,2634192.15055,2344894.7838000013,2471053.8719750005,3630604.3485402586
2020-02-13,2709396.8332250016,2419707.9502250003,2709232.50055,2368382.833800001,2450662.371975001,3642837.4959202977
2020-02-14,2697917.533225002,2416172.9502250007,2696906.3005500003,2362850.5338000013,2438440.421975,3632887.5977917053
2020-02-17,2694760.533225002,2393938.550225001,2700208.5005500005,2354741.833800001,2413152.021975001,3637209.4973842613
2020-02-18,2680911.3832250014,2371953.750225,2674636.65055,2330625.983800001,2395159.7219750006,3613184.59042504
2020-02-19,2714781.0832250016,2411458.350225,2700742.40055,2360846.433800001,2434414.871975001,3667054.991400618
2020-02-20,2672802.033225002,2391246.550225,2687285.5505500003,2331655.283800001,2409273.371975,3633544.6895533986
2020-02-24,2636698.3332250016,2333249.1502250005,2615005.40055,2283099.333800001,2364620.521975,3546672.8493786696
2020-02-25,2633087.433225001,2310434.250225,2559810.60055,2257496.583800001,2360694.771975001,3521336.872481942
2020-02-26,2629273.383225002,2289007.100225,2546218.90055,2242352.933800001,2345365.821975,3502803.9998677205
2020-02-27,2643249.483225002,2286236.350225,2548711.7505500005,2251822.933800001,2352974.0219750004,3527776.2311390005
2020-02-28,2578319.083225002,2195879.500225,2457147.0505500003,2172980.683800001,2279797.4719750006,3432382.9877064615
2020-03-02,2561361.1832250017,2180718.2002250003,2444352.0005500005,2153514.783800001,2271546.221975,3414270.966369525
2020-03-03,2584388.2332250015,2238960.650225,2519270.75055,2218573.283800001,2301943.1219750005,3446668.3198687565
2020-03-04,2611930.4832250015,2280028.0502250004,2579417.2005499997,2273129.733800001,2315280.771975001,3467231.625418352
2020-03-05,2633269.133225002,2276362.550225,2588499.65055,2284827.6338000004,2319332.1719750008,3482094.4725228352
2020-03-06,2612144.283225002,2233557.550225001,2561124.5505500003,2269717.4338000007,2277871.771975001,3430229.3096170938
2020-03-09,2572042.1332250014,2138027.7002250003,2469434.50055,2219173.833800001,2220061.7719750004,3338909.5832810956
2020-03-11,2576170.7832250013,2131936.400225,2434009.75055,2203249.9838000005,2223302.3347000005,3330201.0325170383
2020-03-12,2449610.1332250014,1998181.400225,2272494.60055,2094892.633800001,2082468.4847000006,3095062.2947236137
2020-03-13,2464468.4832250015,2075057.0002250003,2307897.9505499997,2114300.683800001,2177177.6347000008,3164359.008875073
2020-03-16,2303915.3832250014,1944198.8002250001,2212219.0505500003,2019598.983800001,2012385.2347000006,2944047.355098211
2020-03-17,2327682.233225002,1912480.500225,2167032.85055,2015035.7838000008,1989940.4847000006,2911671.6249463013
2020-03-18,2172488.783225002,1820360.6502250005,2069542.2005500002,1911556.4838000012,1852424.0847000007,2712327.798709249
2020-03-19,2157454.783225002,1778036.1002250002,2030803.2505500002,1870255.433800001,1841513.2347000008,2662969.616367634
2020-03-20,2277108.7332250015,1930460.0502250004,2180288.60055,2032932.3838000011,1943027.9847000006,2785826.943195753
2020-03-23,1985433.3332250016,1726704.5502250004,2021517.1005500006,1816385.6838000012,1691886.6847000006,2433234.3932765094
2020-03-24,2006904.8332250016,1759231.8002250001,2078322.2005500002,1845227.5838000008,1695682.3847000005,2460549.4024513336
2020-03-25,2115538.2332250015,1858650.0502250004,2152090.0505500003,1921496.033800001,1818212.2847000007,2638257.300989775
2020-03-26,2172022.3332250016,1893012.6002250002,2200537.70055,1949243.7838000013,1878359.4347000006,2735385.48593296
2020-03-27,2176415.4832250015,1892784.2002250003,2196943.00055,1931497.933800001,1886903.5347000007,2742542.045135917
2020-03-30,2141290.383225002,1854846.0002250003,2224331.50055,1938145.833800001,1791364.6847000008,2669917.1053636074
2020-03-31,2215350.9832250015,1942531.6502250002,2294878.00055,2029605.9838000007,1864508.6347000005,2747331.337434562
2020-04-01,2141230.3332250016,1897071.5502250001,2274036.40055,1985366.6838000012,1803388.6347000008,2689049.2223450243
2020-04-03,2068329.4332250014,1874197.1002250002,2257202.70055,1956619.833800001,1759746.8847000008,2559195.60871078
2020-04-07,2227533.633225002,2063072.1502250005,2541921.65055,2170825.633800001,1891755.0847000007,2785299.1352560944
2020-04-08,2211100.1832250017,2082982.7502250003,2570375.15055,2190201.6838000007,1895806.9847000006,2747190.616642461
2020-04-09,2311677.7332250015,2141712.350225,2604702.65055,2208898.733800001,2001630.584700001,2913018.568204578
2020-04-13,2313848.9332250017,2158187.550225,2636602.40055,2262600.3338000006,1990098.4347000008,2867416.4945903565
2020-04-15,2326805.233225002,2151957.9502250003,2662347.65055,2291314.8838000013,1963478.3847000008,2846144.0720526082
2020-04-16,2365722.1832250017,2188300.8002250004,2711594.9505500006,2327216.2838000013,1998840.0347000007,2910550.5458389875
2020-04-17,2390208.383225002,2233325.500225,2759245.60055,2359093.1338000013,2033472.284700001,2946698.9886730914
2020-04-20,2379505.5832250016,2215854.7002250003,2705460.00055,2316943.1838000007,2053510.2847000007,2948126.9540710673
2020-04-21,2354952.9332250017,2225170.7502250005,2757632.2005500006,2349300.7838000013,2020986.3847000005,2886104.400654611
2020-04-22,2429489.483225002,2275164.3502250006,2788818.15055,2403729.133800001,2052603.7847000007,2950742.5206698203
2020-04-23,2439473.933225002,2274850.100225,2762028.05055,2399557.0435000006,2068564.5847000007,2929330.916620464
2020-04-24,2436434.9332250017,2261504.5502250004,2737153.75055,2392297.172400001,2043162.0347000004,2897323.154636105
2020-04-27,2459478.6832250017,2273271.3002250004,2743042.35055,2400925.7065250007,2055391.8847000008,2931992.693068757
2020-04-28,2436603.133225002,2283202.750225,2735906.25055,2378666.251375001,2075994.034700001,2953368.4762805104
2020-04-29,2414384.1332250014,2287100.2502250005,2703910.85055,2338643.8836750006,2116894.5347000007,2962893.3490622453
2020-04-30,2427115.6832250017,2324061.3502249997,2759168.75055,2352604.5336750015,2146836.0847000005,3035426.8350749398
2020-05-04,2310665.9832250015,2250621.7002250003,2696328.95055,2292592.533675001,2022238.6847000008,2836588.6323702503
2020-05-05,2249854.8332250016,2205448.300225,2637022.3005500003,2230202.7836750015,1976947.7847000004,2786536.2547097206
2020-05-06,2251832.883225002,2219444.8502250006,2641388.90055,2236766.7336750007,2003545.1347000008,2798504.82157488
2020-05-07,2221349.4832250015,2213815.350225,2616404.5005500005,2222869.133675001,1976704.8347000007,2750366.644441366
2020-05-08,2205591.4832250015,2251229.000225,2681413.35055,2259032.8836750006,1975261.5847000007,2737875.2056606757
2020-05-11,2189625.383225002,2220073.750225,2609382.75055,2223697.833675001,1955394.8847000005,2708828.0584133035
2020-05-12,2146267.3832250014,2177123.000225,2576847.35055,2183633.933675001,1933133.2847000007,2694212.490176595
2020-05-13,2195718.7332250015,2202337.300225,2595587.00055,2207512.283675001,1970126.1347000005,2749292.769396278
2020-05-14,2141704.383225002,2149877.500225,2558140.20055,2168156.733675001,1912616.884700001,2676924.94392177
2020-05-15,2162974.333225002,2159753.3502250006,2557589.75055,2184697.633675001,1919587.6347000008,2690506.0468823123
2020-05-18,2098719.9332250017,2101210.8002250004,2503079.7505500005,2125343.783675001,1840105.884700001,2578002.0356758786
2020-05-19,2099012.633225002,2108752.9002250005,2522119.4505499997,2139818.983675001,1848134.9347000008,2594586.7916868385
2020-05-20,2125331.2332250015,2187352.750225,2644843.0505500003,2213562.833675001,1902039.4847000006,2663743.92074685
2020-05-21,2186787.9832250015,2184986.700225,2619759.25055,2228694.383675001,1921411.7347000008,2689790.771476035
2020-05-22,2219257.083225002,2187938.500225,2634613.15055,2262195.333675001,1910320.9847000006,2684557.502001986
2020-05-26,2241548.2332250015,2176890.000225,2645254.30055,2258292.133675001,1910537.7347000008,2729011.2929668706
2020-05-27,2261035.4332250017,2212911.1002250006,2664569.65055,2279007.433675001,1957243.0347000007,2766701.3559211716
2020-05-28,2299793.383225002,2238607.150225,2677012.65055,2298486.783675001,2005476.4847000006,2820912.7850548206
2020-05-29,2344953.4832250015,2305311.3002250004,2771085.5505500003,2380534.833675001,2047501.5847000007,2857284.1304607
2020-06-01,2386703.1832250017,2311254.3002250004,2751251.75055,2351164.7392500006,2088681.3347000007,2953097.680340099
2020-06-02,2405992.1832250017,2326270.3002250004,2733304.15055,2350848.496600001,2126754.0847000005,2998598.37060547
2020-06-03,2426678.033225002,2350474.4502250003,2775302.9005500004,2376728.6312000006,2149969.084700001,3030127.4642260433
2020-06-04,2357460.8332250016,2342433.4502250003,2784471.0505500003,2354938.531200001,2101682.0347000007,2963936.067288891
2020-06-05,2382609.433225001,2358183.800225,2812076.0005500005,2378625.501700001,2121929.2984000007,3005107.56807605
2020-06-08,2372236.0832250016,2339914.4002250005,2800215.7505499995,2360343.8237000015,2103224.0186250005,3027355.994151416
2020-06-09,2359640.2832250013,2365282.8002250004,2860108.90055,2401666.4737000014,2099190.8029250004,2999711.8820621585
2020-06-10,2355193.133225002,2377776.9002250005,2846969.95055,2397084.773700001,2111185.2129,2990251.5385199375
2020-06-11,2310275.733225002,2332821.6502250005,2797881.9505499997,2350155.2433000007,2068102.2122000004,2927040.2384895226
2020-06-12,2347055.733225002,2343779.5502250004,2787281.60055,2356747.7433000007,2092060.2434250007,2973443.5949734617
2020-06-15,2305956.1832250017,2332422.4502250003,2764885.80055,2336032.3433000008,2055570.9777000006,2910683.311193671
2020-06-16,2325845.333225002,2347770.350225,2771054.3005500003,2340349.793300001,2096214.5903000005,2953515.068782999
2020-06-17,2300696.733225002,2333617.4502250003,2760856.20055,2321144.893300001,2074027.9324000005,2935217.268357899
2020-06-18,2329154.2332250015,2365168.6502250005,2786149.8005500003,2337352.893300001,2116285.126900001,2984726.5352850296
2020-06-19,2353611.133225002,2391461.0002250005,2789973.55055,2354360.893300001,2126980.2032500003,3006806.9736360386
2020-06-22,2385652.133225002,2406021.5002250005,2807943.7005499997,2386182.4433000013,2140706.1829750007,3023985.625477073
2020-06-23,2424791.233225002,2433191.850225,2861005.6505500004,2427937.393300001,2169270.9309750004,3073443.604856128
2020-06-24,2454432.7832250013,2406479.9502250003,2811000.4505500006,2423960.443300001,2158453.503100001,3063490.5633757357
2020-06-25,2408878.283225002,2381790.800225,2794105.90055,2384056.8433000008,2131039.1722250003,3018135.931196346
2020-06-26,2417269.883225002,2385700.750225,2779909.6005499996,2387424.9933000007,2140434.148000001,3019041.53453504
2020-06-29,2430497.133225002,2370953.4502250003,2761050.4505499997,2381853.543300001,2146846.8980000005,3008270.1186446026
2020-06-30,2417055.3332250016,2361457.100225,2745483.85055,2370121.193300001,2139437.0480000004,2996007.963145509
2020-07-01,2425709.6332250014,2376534.6002250006,2738190.60055,2361152.593300001,2167695.548000001,3022080.9153496954
2020-07-02,2444083.833225002,2401009.9502250003,2762790.85055,2366599.293300001,2194038.4251500005,3073820.410585097
2020-07-03,2444602.5832250016,2408663.0002250005,2771733.1505500004,2376405.693300001,2188809.237850001,3090871.561907989
2020-07-06,2467972.4332250017,2417897.100225,2758677.20055,2382148.793300001,2205633.5064750006,3118156.4037829107
2020-07-07,2496772.0332250013,2409042.2502250005,2729327.35055,2372922.143300001,2223052.4616250005,3135001.886431372
2020-07-08,2448961.883225002,2400539.750225,2746245.9005500004,2354892.043300001,2202869.0996,3084532.7308577085
2020-07-09,2484081.4832250015,2428602.2002250003,2751749.3505499996,2375444.543300001,2241354.5480750008,3119108.86800975
2020-07-10,2456279.2332250015,2425551.350225,2735794.7505500005,2369487.043300001,2212780.5043500005,3067002.570009484
2020-07-13,2447444.983225002,2429020.350225,2733306.75055,2369794.143300001,2190645.480325001,3057162.5254745353
2020-07-14,2419754.7332250015,2418027.9002250005,2774471.8005500003,2373164.8933000015,2150085.8431000006,3034961.799190197
2020-07-15,2404823.783225002,2419624.6502250005,2800061.20055,2376081.493300001,2141775.9931000005,3017539.0126308063
2020-07-16,2437712.283225002,2453281.9502250003,2852271.45055,2418141.343300001,2165932.9931000005,3034510.381416686
2020-07-17,2488728.533225002,2477781.3002250004,2858297.45055,2434888.643300001,2206213.143100001,3111325.2018791605
2020-07-20,2527444.4832250015,2481249.4502250003,2850653.1005499996,2445532.693300001,2226440.1431000005,3141940.6430859463
2020-07-21,2509999.283225002,2491702.850225,2835423.65055,2423996.243300001,2237695.2931000004,3169421.1087167636
2020-07-22,2490081.633225002,2494948.0502250004,2874222.05055,2415411.193300001,2218938.6431000005,3192636.7759204046
2020-07-23,2527796.9332250017,2530446.9002250005,2922761.50055,2451007.143300001,2235138.1931000007,3230085.473377468
2020-07-24,2502337.2332250015,2520018.0002250005,2878269.5005500005,2417486.6933000013,2212536.5931000006,3194744.8049457353
