,a2c,ddpg,td3,ppo,sac,mvo
2020-11-19,2320007.2612100006,2448669.6004250003,2437578.0601650006,2066912.1477400044,2108843.727980001,3233108.389445092
2020-11-20,2297555.792585001,2419211.1304250006,2424089.2501650015,2059474.725455004,2089456.987980001,3206846.9908479033
2020-11-23,2305761.4615500006,2459152.8904250003,2446843.130165001,2080625.2409650038,2130418.3479800005,3209365.7243485535
2020-11-24,2361561.200980001,2521417.0004250007,2507021.250165001,2112870.5143500045,2204546.587980001,3239978.219299052
2020-11-25,2355723.448735001,2529883.2204250004,2507966.830165001,2110795.8740750044,2196030.5779800005,3273587.2332797525
2020-11-27,2359512.4227100005,2528655.9304250004,2505111.4701650008,2106350.3959600045,2184023.5279800007,3280825.09020413
2020-11-30,2338314.3301800005,2516804.6204250003,2494045.3201650013,2086707.8624650044,2150481.8479800005,3314024.387871964
2020-12-01,2371961.462900001,2550287.8504250003,2519455.260165001,2097540.5393450046,2184965.587980001,3355039.793376447
2020-12-02,2376462.2036050004,2589870.440425,2551142.990165001,2109697.5950100045,2217748.9579800004,3381731.0705886167
2020-12-03,2371179.2174050002,2622194.3904250003,2559682.9001650014,2107989.3581150044,2233969.157980001,3384460.8810674287
2020-12-04,2383379.223495001,2636531.610425,2594052.0501650013,2121785.8629800044,2262337.877980001,3390568.9323093295
2020-12-07,2374060.557745001,2639235.480425,2576954.5201650015,2114810.9736500047,2245676.2379800007,3394581.6072179805
2020-12-08,2389647.766860001,2646538.2104250006,2593614.2101650015,2117020.5714800046,2256609.5579800005,3402258.0047474247
2020-12-09,2357349.9261100003,2604819.250425,2585161.500165001,2106476.687045004,2248213.4879800007,3349725.9379033307
2020-12-10,2351582.205445001,2611362.440425,2581729.350165001,2101237.5533900037,2239596.6479800004,3371491.04888839
2020-12-11,2369063.522045001,2606452.5404250002,2578184.220165001,2099527.845080004,2236421.607980001,3367434.1333798016
2020-12-14,2358572.8209450007,2595466.6804250004,2549554.520165001,2086095.2185100038,2195655.2079800004,3381661.313105494
2020-12-15,2367930.7033100007,2630415.5504250005,2597068.940165001,2099134.0555900037,2226782.7379800007,3443819.7447420685
2020-12-16,2403415.0632400005,2638543.6804250004,2593410.6001650016,2102008.109445004,2231023.147980001,3455259.4368647905
2020-12-17,2407064.7093850006,2630653.8704250003,2603945.6101650014,2102145.680390003,2235480.5079800007,3467076.477341651
2020-12-18,2392376.2364600007,2602855.110425,2581964.800165001,2096827.531195003,2224042.2779800007,3439085.84591729
2020-12-21,2422984.8455650005,2607853.7604250005,2581663.420165001,2099167.377360003,2236466.2479800005,3422899.512553977
2020-12-22,2431433.504975001,2606431.0804250003,2570647.370165001,2092194.3511700027,2221599.1779800006,3434285.0322760744
2020-12-23,2425618.487315001,2609941.8004250005,2584214.8801650014,2105232.2019800027,2252533.2379800007,3412673.8014923325
2020-12-24,2432961.7936800006,2605316.6304250006,2583414.6801650007,2102566.1697250027,2250548.137980001,3411757.272223366
2020-12-28,2459380.5708450004,2632036.030425,2601630.390165001,2112655.2801350025,2259799.107980001,3468448.4505852177
2020-12-29,2454107.2668400006,2630871.4104250004,2598793.970165001,2110535.8004750023,2252382.227980001,3462592.1245652195
2020-12-30,2439065.449790001,2629803.3304250003,2611702.620165001,2113774.082925002,2269291.4379800004,3468287.875296413
2020-12-31,2447722.852180001,2629395.6404250003,2626549.290165001,2119438.0021550017,2288359.5679800007,3453778.85169112
2021-01-04,2406551.1813500007,2567270.1004250003,2589320.500165001,2106074.655765002,2259573.3079800005,3401589.772254966
2021-01-05,2416368.8513500006,2608305.270425,2614399.950165001,2110865.442605002,2272318.8479800005,3439267.2880665436
2021-01-06,2416602.841350001,2618619.6204250003,2667194.500165001,2152712.184710002,2362159.767980001,3395773.799584709
2021-01-07,2465932.5313500008,2667561.570425,2700398.0901650013,2155941.9855450024,2392146.5979800005,3459498.2879523896
2021-01-08,2467039.881350001,2662097.7404250004,2690444.090165001,2149843.083200002,2378285.1379800006,3455853.837253431
2021-01-11,2451853.6313500004,2655395.1404250003,2698601.060165001,2152876.506845002,2390869.067980001,3437470.5694365716
2021-01-12,2444121.7413500007,2670228.8804250006,2722240.5601650015,2169677.1075150017,2416388.3179800007,3425452.4983702824
2021-01-13,2450671.5113500003,2669529.6604250004,2715976.450165001,2162497.7717450014,2403345.9379800004,3415452.173026908
2021-01-14,2432254.081350001,2676048.520425,2736482.7601650013,2170376.362985002,2428090.777980001,3404397.2457381827
2021-01-15,2410569.2113500005,2620779.0904250005,2686748.810165001,2147034.5265450017,2380889.5079800007,3349855.771909669
2021-01-19,2438998.1413500006,2655769.490425,2714817.1501650014,2159784.8528100015,2405437.0579800005,3390924.6472604745
2021-01-20,2471345.2413500007,2689868.4904250004,2716298.0701650013,2158163.5266950014,2393643.627980001,3444967.6272596447
2021-01-21,2471990.4406300006,2691283.110425,2717382.000165001,2146669.5321500013,2367060.2579800007,3492451.64037274
2021-01-22,2477923.3102450008,2681130.9304250004,2703521.190165001,2138867.3787200013,2363325.8679800006,3506937.232135972
2021-01-25,2497519.8210400008,2684871.2604250005,2710170.340165001,2127775.2828200017,2347220.7579800007,3541636.16586328
2021-01-26,2519160.8010400007,2702810.8804250006,2746036.180165001,2130467.8276050016,2349826.5779800005,3576497.5885697342
2021-01-27,2483643.5410400005,2642305.020425,2717824.180165001,2115399.4498000015,2302225.2879800005,3497952.510562001
2021-01-28,2534448.961040001,2666746.690425,2722476.0101650013,2125024.0864550015,2343507.127980001,3466132.9942755047
2021-01-29,2466961.6810400006,2598836.710425,2638131.9101650007,2097774.7338900017,2280535.2579800007,3376044.030299411
2021-02-01,2525133.441040001,2645034.780425,2651358.830165001,2109710.427375002,2291312.357980001,3440821.645105264
2021-02-02,2541876.6510400004,2683661.1404250003,2685530.4101650007,2129533.3894700017,2331404.537980001,3472747.031867619
2021-02-03,2564495.151040001,2698003.440425,2691131.420165001,2134161.132685001,2346722.1979800006,3450075.8117602803
2021-02-04,2583297.2010400007,2734665.5404250002,2739322.380165001,2160947.4815000016,2401486.837980001,3489872.853205316
2021-02-05,2592533.131040001,2727877.960425,2746283.880165001,2168153.594900002,2407201.957980001,3500116.694207863
2021-02-08,2606175.411040001,2761665.910425,2786792.150165001,2180594.5814750018,2441718.4179800004,3533562.357265345
2021-02-09,2614999.671040001,2767567.6604250004,2784552.970165001,2176936.4762900015,2447724.5079800007,3527053.9361604126
2021-02-10,2602139.811040001,2752593.740425,2782218.2801650013,2171487.3145550014,2448199.5079800007,3530696.734294975
2021-02-11,2605027.001040001,2749032.9104250004,2768655.3001650013,2160803.657950002,2431408.0479800007,3513020.244274874
2021-02-12,2615154.4610400014,2765802.460425,2790849.840165001,2172571.2113850014,2453896.7679800005,3534076.2656987337
2021-02-16,2619080.041040001,2779883.000425,2794199.200165001,2189081.3937800014,2492668.5479800007,3506860.3254791535
2021-02-17,2632108.131040001,2770238.530425,2787247.460165001,2187598.330715001,2483822.4479800006,3494295.81077908
2021-02-18,2626221.731040001,2737007.650425,2771022.9901650012,2185544.3390350016,2473700.897980001,3477888.0650462816
2021-02-19,2603202.4010400004,2761723.780425,2784142.7401650012,2179120.7092700014,2497310.1579800006,3467254.165196013
2021-02-22,2569941.8210400008,2724198.7904250002,2774077.810165001,2190842.625485001,2513355.607980001,3388482.5556208827
2021-02-23,2569521.9010400013,2726677.110425,2778249.730165001,2198085.670805001,2526289.75798,3383922.840894555
2021-02-24,2596009.111040001,2800983.940425,2834622.670165001,2222503.349405001,2591421.107980001,3424756.1910338607
2021-02-25,2534542.8010400007,2699975.0104250005,2774698.7401650012,2196252.885395001,2536267.227980001,3321680.347720442
2021-02-26,2534654.9710400007,2695690.0404250002,2743830.9901650012,2174409.165645001,2485561.347980001,3319197.782071184
2021-03-01,2592662.311040001,2798005.9704250004,2826904.4301650017,2210859.656045001,2552382.9379800013,3409374.1587113393
