,date,account_value
523,2021-01-29,2466961.6810400006
524,2021-02-01,2525133.441040001
525,2021-02-02,2541876.6510400004
526,2021-02-03,2564495.151040001
527,2021-02-04,2583297.2010400007
528,2021-02-05,2592533.131040001
529,2021-02-08,2606175.411040001
530,2021-02-09,2614999.671040001
531,2021-02-10,2602139.811040001
532,2021-02-11,2605027.001040001
533,2021-02-12,2615154.4610400014
534,2021-02-16,2619080.041040001
535,2021-02-17,2632108.131040001
536,2021-02-18,2626221.731040001
537,2021-02-19,2603202.4010400004
538,2021-02-22,2569941.8210400008
539,2021-02-23,2569521.9010400013
540,2021-02-24,2596009.111040001
541,2021-02-25,2534542.8010400007
542,2021-02-26,2534654.9710400007
543,2021-03-01,2592662.311040001
544,2021-03-02,2566332.311040001
545,2021-03-03,2529022.4510400007
546,2021-03-04,2514722.091040001
547,2021-03-05,2564775.281040001
548,2021-03-08,2554417.3910400006
549,2021-03-09,2594191.331040001
550,2021-03-10,2601433.3110400005
551,2021-03-11,2632894.961040001
552,2021-03-12,2635771.171040001
553,2021-03-15,2624116.901040001
554,2021-03-16,2639989.6410400006
555,2021-03-17,2648233.8010400007
556,2021-03-18,2616423.1210400006
557,2021-03-19,2601452.641040001
558,2021-03-22,2626562.1010400006
559,2021-03-23,2624153.771040001
560,2021-03-24,2609315.431040001
561,2021-03-25,2607502.6510400013
562,2021-03-26,2658218.2410400007
563,2021-03-29,2646634.2810400007
564,2021-03-30,2632821.871040001
565,2021-03-31,2643695.6410400006
566,2021-04-01,2694735.6810400006
567,2021-04-05,2747021.0010400005
568,2021-04-06,2737581.0510400007
569,2021-04-07,2759204.2510400005
570,2021-04-08,2778542.7410400007
571,2021-04-09,2808431.841040001
572,2021-04-12,2815057.601040001
573,2021-04-13,2817493.921040001
574,2021-04-14,2808244.5910400003
575,2021-04-15,2822828.961040001
576,2021-04-16,2832058.2810400007
577,2021-04-19,2818411.101040001
578,2021-04-20,2794371.671040001
579,2021-04-21,2823479.981040001
580,2021-04-22,2784930.8610400013
581,2021-04-23,2829089.2210400007
582,2021-04-26,2841915.2410400007
583,2021-04-27,2853277.5410400005
584,2021-04-28,2817363.291040001
585,2021-04-29,2816967.9710400007
586,2021-04-30,2806576.4510400007
587,2021-05-03,2803436.0410400005
588,2021-05-04,2788085.6610400006
589,2021-05-05,2778026.161040001
590,2021-05-06,2814991.2210400007
591,2021-05-07,2831669.4310400006
592,2021-05-10,2794051.911040001
593,2021-05-11,2774336.3710400006
594,2021-05-12,2714990.9610400004
595,2021-05-13,2758526.0810400005
596,2021-05-14,2806323.111040001
597,2021-05-17,2794605.171040001
598,2021-05-18,2761095.0610400005
599,2021-05-19,2752890.081040001
600,2021-05-20,2772161.981040001
601,2021-05-21,2773746.601040001
